
 --- Table  1: Summary of nuclide data: 

 Data for 282 nuclides included in calculation:

 - 282 Transport nuclides
 - No dosimetry nuclides
 - No decay nuclides
 - 8094 reaction channels
 - 3441 special reactions
 - No transmutation reactions
 - 79 transmutation branch reactions
 - No decay reactions
 - No decay branch reactions
 - All reaction linked to target

 Columns:

  1. Index
  2. Level (first occurence in transmutation paths)
  3. Name (nuclide identifier data)
  4. Library ID
  5. Primary data type: TRA = transport
                        DOS = dosimetry
                        SAB = thermal scattering
                        DEC = only decay data
                        STR = only structural data (mass)
                        PHO = photon interaction data
  6. Z (atomic number)
  7. A (isotope number)
  8. I (isomeric state)
  9. Atomic weight
 10. Temperature (in Kelvin)
 11. Decay constant (1/s)
 12. Flags: I - nuclide is present in initial composition
            B - nuclide is involved in burnup calculation
            A - nuclide is produced as activation product
            D - nuclide is produced as decay product
            F - nuclide is produced as fission product
            B - nuclide is produced in decay or transmutation branching
            T - nuclide has neutron transport cross section data
            S - nuclide has S(a,b) data
            I - nuclide has isomeric branching reactions
            F - nuclide is fissile
            P - nuclide is a delayed neutron precursor
            D - nuclide has delayed neutron data
            U - nuclide has uses ures ptable data
            T - nuclide cross sections are adjusted by TMS
            D - nuclide has dosimetry cross section data
            R - nuclide has radioactive decay data
            N - nuclide has neutron-induced fission yield data
            S - nuclide has spontaneous fission yield data
            P - nuclide has photon transport cross section data
            T - nuclide has supplementary transmutation cross section data

   96   0  48106.09c     09c  TRA   48 106 0  105.90579   908.0          N/A  I-----T-------------  cadmium 106 (Cd-106)
   97   0  48108.09c     09c  TRA   48 108 0  107.90395   908.0          N/A  I-----T-------------  cadmium 108 (Cd-108)
   98   0  48110.09c     09c  TRA   48 110 0  109.90313   908.0          N/A  I-----T-I-----------  cadmium 110 (Cd-110)
   99   0  48111.09c     09c  TRA   48 111 0  110.90372   908.0          N/A  I-----T-------------  cadmium 111 (Cd-111)
  100   0  48112.09c     09c  TRA   48 112 0  111.90331   908.0          N/A  I-----T-I-----------  cadmium 112 (Cd-112)
  101   0  48113.09c     09c  TRA   48 113 0  112.89987   908.0          N/A  I-----T-------------  cadmium 113 (Cd-113)
  102   0  48114.09c     09c  TRA   48 114 0  113.90349   908.0          N/A  I-----T-I-----------  cadmium 114 (Cd-114)
  103   0  48315.09c     09c  TRA   48 115 1  114.90510   908.0          N/A  I-----T-------------  cadmium 115m (Cd-115m)
  104   0  48116.09c     09c  TRA   48 116 0  115.90468   908.0          N/A  I-----T-I-----------  cadmium 116 (Cd-116)
  105   0  49113.09c     09c  TRA   49 113 0  112.90390   908.0          N/A  I-----T-I-----------  indium 113 (In-113)
  106   0  49115.09c     09c  TRA   49 115 0  114.90409   908.0          N/A  I-----T-------------  indium 115 (In-115)
  107   0  50112.09c     09c  TRA   50 112 0  111.90533   908.0          N/A  I-----T-I-----------  tin 112 (Sn-112)
  108   0  50113.09c     09c  TRA   50 113 0  112.90491   908.0          N/A  I-----T-------------  tin 113 (Sn-113)
  109   0  50114.09c     09c  TRA   50 114 0  113.90349   908.0          N/A  I-----T-------------  tin 114 (Sn-114)
  110   0  50115.09c     09c  TRA   50 115 0  114.90308   908.0          N/A  I-----T-------------  tin 115 (Sn-115)
  111   0  50116.09c     09c  TRA   50 116 0  115.90166   908.0          N/A  I-----T-I-----------  tin 116 (Sn-116)
  112   0  50117.09c     09c  TRA   50 117 0  116.90326   908.0          N/A  I-----T-------------  tin 117 (Sn-117)
  113   0  50118.09c     09c  TRA   50 118 0  117.90184   908.0          N/A  I-----T-I-----------  tin 118 (Sn-118)
  114   0  50119.09c     09c  TRA   50 119 0  118.90345   908.0          N/A  I-----T-------------  tin 119 (Sn-119)
  115   0  50120.09c     09c  TRA   50 120 0  119.90202   908.0          N/A  I-----T-I-----------  tin 120 (Sn-120)
  116   0  50122.09c     09c  TRA   50 122 0  121.90322   908.0          N/A  I-----T-I-----------  tin 122 (Sn-122)
  117   0  50123.09c     09c  TRA   50 123 0  122.90582   908.0          N/A  I-----T-------------  tin 123 (Sn-123)
  118   0  50124.09c     09c  TRA   50 124 0  123.90542   908.0          N/A  I-----T-I-----------  tin 124 (Sn-124)
  119   0  50125.09c     09c  TRA   50 125 0  124.90802   908.0          N/A  I-----T-------------  tin 125 (Sn-125)
  120   0  50126.09c     09c  TRA   50 126 0  125.90761   908.0          N/A  I-----T-I-----------  tin 126 (Sn-126)
  121   0  51121.09c     09c  TRA   51 121 0  120.90867   908.0          N/A  I-----T-I-----------  antimony 121 (Sb-121)
  122   0  51123.09c     09c  TRA   51 123 0  122.90582   908.0          N/A  I-----T-------------  antimony 123 (Sb-123)
  123   0  51124.09c     09c  TRA   51 124 0  123.90642   908.0          N/A  I-----T-------------  antimony 124 (Sb-124)
  124   0  51125.09c     09c  TRA   51 125 0  124.90500   908.0          N/A  I-----T-------------  antimony 125 (Sb-125)
  125   0  51126.09c     09c  TRA   51 126 0  125.90761   908.0          N/A  I-----T-------------  antimony 126 (Sb-126)
  126   0  52120.09c     09c  TRA   52 120 0  119.90404   908.0          N/A  I-----T-I-----------  tellurium 120 (Te-120)
  127   0  52122.09c     09c  TRA   52 122 0  121.90322   908.0          N/A  I-----T-I-----------  tellurium 122 (Te-122)
  128   0  52123.09c     09c  TRA   52 123 0  122.90381   908.0          N/A  I-----T-------------  tellurium 123 (Te-123)
  129   0  52124.09c     09c  TRA   52 124 0  123.90339   908.0          N/A  I-----T-I-----------  tellurium 124 (Te-124)
  130   0  52125.09c     09c  TRA   52 125 0  124.90399   908.0          N/A  I-----T-------------  tellurium 125 (Te-125)
  131   0  52126.09c     09c  TRA   52 126 0  125.90257   908.0          N/A  I-----T-I-----------  tellurium 126 (Te-126)
  132   0  52327.09c     09c  TRA   52 127 1  126.90519   908.0          N/A  I-----T-------------  tellurium 127m (Te-127m)
